Name,Address,Rating
Baldwin Hills Scenic Overlook,"6300 Hetzler Rd, Culver City, CA 90232, United States",4.8
The Wende Museum,"10808 Culver Blvd, Culver City, CA 90230, United States",4.7
Culver City Park,"9910 Jefferson Blvd, Culver City, CA 90232, United States",4.6
Natural History Museum of Los Angeles County,"900 Exposition Blvd, Los Angeles, CA 90007, United States",4.8
The Museum of Jurassic Technology,"9341 Venice Blvd., Culver City, CA 90232, United States",4.4
Star Eco Station,"10101 Jefferson Blvd, Culver City, CA 90232, United States",4.7
Universal CityWalk Hollywood,"100 Universal City Plaza, Universal City, CA 91608, United States",4.6
Culver City Historical Society,"4117 Overland Ave, Culver City, CA 90230, United States",4.8
Veterans Memorial Park,"4117 Overland Ave, Culver City, CA 90230, United States",4.6
Stoneview Nature Center,"5950 Stoneview Dr, Culver City, CA 90232, United States",4.8
Griffith Park,"Los Angeles, CA 90027, United States",4.7
Los Angeles County Museum of Art,"5905 Wilshire Blvd, Los Angeles, CA 90036, United States",4.6
World of Illusions Los Angeles,"6751 Hollywood Blvd, Los Angeles, CA 90028, United States",4.1
Fisherman's Village,"13755 Fiji Way, Marina Del Rey, CA 90292, United States",4.4
Venice Boardwalk,"Beach pavillion in, Los Angeles, CA, United States",4.5
Del Rey Lagoon,"6660 Esplanade Place, Playa Del Rey, CA 90293, United States",4.5
Paramount Pictures Studio Tour,"5515 Melrose Ave, Los Angeles, CA 90038, United States",4.5
Discovery Cube Los Angeles,"11800 Foothill Blvd, Sylmar, CA 91342, United States",4.4
Bronson Caves,"3200 Canyon Dr, Los Angeles, CA 90068, United States",4.5
The Getty,"1200 Getty Center Dr, Los Angeles, CA 90049, United States",4.8
Hollywood Walk of Fame,"Hollywood Boulevard, Vine St, Los Angeles, CA 90028, United States",4
Guinness World Records Museum,"6764 Hollywood Blvd, Los Angeles, CA 90028, United States",3.8
Paramount Pictures Studio Tour,"5515 Melrose Ave, Los Angeles, CA 90038, United States",4.5
Joan Fontaine Star of Fame,"1645 Vine St, Los Angeles, CA 90028, United States",3.7
Bronson Caves,"3200 Canyon Dr, Los Angeles, CA 90068, United States",4.5
World of Illusions Los Angeles,"6751 Hollywood Blvd, Los Angeles, CA 90028, United States",4.1
Ripley's Believe It or Not!,"6780 Hollywood Blvd, Hollywood, CA 90028, United States",4.2
You Are The Star,"1665 Wilcox Ave, Los Angeles, CA 90028, United States",4.5
Hollywood Sign,"Los Angeles, CA 90068, United States",4.6
Hollywood Wax Museum,"6767 Hollywood Blvd, Los Angeles, CA 90028, United States",4.4
Griffith Park,"Los Angeles, CA 90027, United States",4.7
Ride like a star,"6808 Hollywood Blvd, Los Angeles, CA 90028, United States",4.9
Hollywood Walk of Fame,"6901 Hollywood Blvd, Los Angeles, CA 90028, United States",4.2
Jay Leno Star of Fame,"6780 Hollywood Blvd, Los Angeles, CA 90028, United States",4.5
Barnsdall Art Park,"4800 Hollywood Blvd, Los Angeles, CA 90027, United States",4.5
Sid & Marty Krofft's Star,"6201 Hollywood Blvd, Los Angeles, CA 90028, United States",0
Home Alone Hollywood Star,"6361 Hollywood Blvd, Los Angeles, CA 90028, United States",0
Barbara Eden Star of Fame,"7003 Hollywood Blvd, Los Angeles, CA 90028, United States",0
Liberace's Star,"6529 Hollywood Blvd, Los Angeles, CA 90028, United States",5
Griffith Observatory,"2800 E Observatory Rd, Los Angeles, CA 90027, United States",4.7
Santa Monica Pier,"200 Santa Monica Pier, Santa Monica, CA 90401, United States",4.6
Palisades Park,"Ocean Ave, Santa Monica, CA 90401, United States",4.7
Tongva Park,"1615 Ocean Ave, Santa Monica, CA 90401, United States",4.5
Original Muscle Beach Santa Monica,"Ocean Front Walk, Santa Monica, CA 90401, United States",4.6
Santa Monica Statue,"California 1 Palisades Park, Santa Monica, CA 90401, United States",4.8
Santa Monica Pier Arch,"81-99 Colorado Ave, Santa Monica, CA 90401, United States",4.7
Greetings from Santa Monica Mural,"315 Colorado Ave, Santa Monica, CA 90401, United States",5
Santa Monica Art Museum,"1219 3rd Street Promenade, Santa Monica, CA 90401, United States",4.7
Pacific Wheel,"380 Santa Monica Pier, Santa Monica, CA 90401, United States",4.6
Santa Monica Pier Carousel,"1624 Ocean Front Walk, Santa Monica, CA 90401, United States",4.6
Pantai Santa Monica,"Beach, Santa Monica, CA 90401, United States",0
Santa Monica Street Art,"1603 Ocean Ave, Santa Monica, CA 90401, United States",0
Crescent Bay Park,"2000 Ocean Ave, Santa Monica, CA 90405, United States",4.6
Santa Monica Beach,"Santa Monica, CA 90401, United States",4.6
Annenberg Community Beach House,"415 Pacific Coast Hwy, Santa Monica, CA 90402, United States",4.7
Venice Boardwalk,"Beach pavillion in, Los Angeles, CA, United States",4.5
Santa Monica Los Angeles,"380 Santa Monica Pier #2, Santa Monica, CA 90401, United States",5
"Yacht Harbour, Santa Monica","Santa Monica, CA 90401, United States",4.2
Santa Monica State Beach,"930 Pacific Coast Hwy, Santa Monica, CA 90403, United States",4.7
Museum of Flying,"3100 Airport Ave, Santa Monica, CA 90405, United States",4.5
Hollywood Walk of Fame,"Hollywood Boulevard, Vine St, Los Angeles, CA 90028, United States",4
Guinness World Records Museum,"6764 Hollywood Blvd, Los Angeles, CA 90028, United States",3.8
Joan Fontaine Star of Fame,"1645 Vine St, Los Angeles, CA 90028, United States",3.7
The Hollywood Museum,"1660 Highland Ave, Hollywood, CA 90028, United States",4.3
World of Illusions Los Angeles,"6751 Hollywood Blvd, Los Angeles, CA 90028, United States",4.1
Ripley's Believe It or Not!,"6780 Hollywood Blvd, Hollywood, CA 90028, United States",4.2
Hollywood Sign,"Los Angeles, CA 90068, United States",4.6
You Are The Star,"1665 Wilcox Ave, Los Angeles, CA 90028, United States",4.5
Paramount Pictures Studio Tour,"5515 Melrose Ave, Los Angeles, CA 90038, United States",4.5
Hollywood Walk of Fame,"6901 Hollywood Blvd, Los Angeles, CA 90028, United States",4.2
Ride like a star,"6808 Hollywood Blvd, Los Angeles, CA 90028, United States",4.9
Crossroads of the World,"6671 Sunset Blvd, Los Angeles, CA 90028, United States",4.1
Universal Studio Tour,"100 Universal City Plaza, Universal City, CA 91608, United States",4.8
Bronson Caves,"3200 Canyon Dr, Los Angeles, CA 90068, United States",4.5
Griffith Observatory,"2800 E Observatory Rd, Los Angeles, CA 90027, United States",4.7
Hollywood Walk Of Fame HQ,"6255 Sunset Blvd #150, Hollywood, CA 90028, United States",4
Home Alone Hollywood Star,"6361 Hollywood Blvd, Los Angeles, CA 90028, United States",0
Patrick Swayze's Star,"7048-7032 Hollywood Blvd, Los Angeles, CA 90028, United States",5
Kiss Star of Fame,"7080 Hollywood Blvd, Los Angeles, CA 90028, United States",5
Liberace's Star,"6529 Hollywood Blvd, Los Angeles, CA 90028, United States",5
Ballona Discovery Park,"13110 Bluff Creek Dr, Los Angeles, CA 90094, United States",4.6
Birthday Fountain,"Foley Building, Los Angeles, CA 90045, United States",5
Fisherman's Village,"13755 Fiji Way, Marina Del Rey, CA 90292, United States",4.4
Baldwin Hills Scenic Overlook,"6300 Hetzler Rd, Culver City, CA 90232, United States",4.8
Bronson Caves,"3200 Canyon Dr, Los Angeles, CA 90068, United States",4.5
Culver City sign,"6323 S Sepulveda Blvd, Los Angeles, CA 90045, United States",5
Del Rey Lagoon,"6660 Esplanade Place, Playa Del Rey, CA 90293, United States",4.5
Venice Boardwalk,"Beach pavillion in, Los Angeles, CA, United States",4.5
Kenneth Hahn View Point,"Los Angeles, CA 90008, United States",4.9
The Wende Museum,"10808 Culver Blvd, Culver City, CA 90230, United States",4.7
The Museum of Jurassic Technology,"9341 Venice Blvd., Culver City, CA 90232, United States",4.4
Sony Pictures Studio Tour,"3990 Overland Ave, Culver City, CA 90232, United States",4.3
Griffith Park,"Los Angeles, CA 90027, United States",4.7
Burton Chace Park,"13650 Mindanao Way, Marina Del Rey, CA 90292, United States",4.6
Venice Canals,"Venice, CA 90292, United States",4.6
The Getty,"1200 Getty Center Dr, Los Angeles, CA 90049, United States",4.8
Natural History Museum of Los Angeles County,"900 Exposition Blvd, Los Angeles, CA 90007, United States",4.8
The Spot,"12426 W Fielding Circle, Playa Vista, CA 90094, United States",4.6
Old Los Angeles Zoo,"4801 Griffith Park Dr, Los Angeles, CA 90027, United States",4.6
Sea Lions Lounging Place,"13701 Fiji Way Dock 55, Marina Del Rey, CA 90292, United States",5
Baldwin Hills Scenic Overlook,"6300 Hetzler Rd, Culver City, CA 90232, United States",4.8
Culver City Park,"9910 Jefferson Blvd, Culver City, CA 90232, United States",4.6
Sony Pictures Studio Tour,"3990 Overland Ave, Culver City, CA 90232, United States",4.3
The Museum of Jurassic Technology,"9341 Venice Blvd., Culver City, CA 90232, United States",4.4
